 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.89E+01  2.926E+04
   1  -3.  2.52E+01  1.573E+04  2.122  0.000  0.300  0.000  0.000 -1.000  39.130
   2  -4.  3.35E+01  9.317E+03  2.143  0.000  0.150  0.000  0.000 -1.000  49.091
   3  -5.  4.74E+01  4.970E+03  2.119  0.000  0.075  0.000  0.000 -1.000  59.124
   4  -5.  7.23E+01  2.126E+03  2.267  0.000  0.037  0.000  0.000 -1.000  68.451
   5  -6.  1.34E+02  5.234E+02  1.888  0.000  0.019  0.000  0.000 -1.000  76.495
   6  -6.  2.09E+02  8.644E+01  1.485  0.000  0.009  0.000  0.000 -1.000  82.998
   7  -6.  2.03E+02  2.004E+01  1.329  0.000  0.005  0.000  0.000 -1.000  86.159
   8  -7.  1.91E+02  1.769E+01  1.303  0.000  0.007  0.000  0.000 -1.000  86.866
   9  -7.  1.90E+02  1.768E+01  1.296  0.000  0.010  0.000  0.000 -1.000  86.900
  10  -1.  1.90E+02  1.768E+01  1.296  0.000  0.005  0.000  0.000 -1.000  86.900
  11  -1.  1.90E+02  1.768E+01  1.296  0.000  0.007  0.000  0.000 -1.000  86.901
  12  -1.  1.90E+02  1.768E+01  1.296  0.000  0.006  0.000  0.000 -1.000  86.901
  13  -1.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.901
  14  -0.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.901
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.90E+02  1.620E+02
  15  -0.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.901
   1  -1.  1.89E+02  1.415E+02  1.409  0.000  0.004  0.000  0.000 -1.000  86.709
   2  -2.  1.97E+02  1.334E+02  1.671  0.000  0.003  0.000  0.000 -1.000  85.886
   3  -3.  1.75E+02  8.046E+01  1.991  0.000  0.002  0.000  0.000 -1.000  83.600
   4  -2.  1.87E+02  6.111E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.069
   5   2.  1.87E+02  6.111E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.070
   6   2.  1.87E+02  6.110E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.070
   7   2.  1.87E+02  6.110E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.070
   8   3.  1.87E+02  6.110E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.070
   9   5.  1.87E+02  6.110E+01  1.939  0.000  0.001  0.000  0.000 -1.000  83.070
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.87E+02  6.207E+01
   1  -1.  1.90E+02  5.956E+01  1.945  0.000  0.001  0.000  0.000 -1.000  82.998
   2  -1.  1.95E+02  5.505E+01  1.946  0.000  0.002  0.000  0.000 -1.000  82.860
   3  -2.  2.37E+02  4.192E+01  1.959  0.000  0.002  0.000  0.000 -1.000  82.042
   4  -1.  2.33E+02  3.521E+01  1.968  0.000  0.001  0.000  0.000 -1.000  81.909
   5  -1.  2.33E+02  3.377E+01  1.968  0.000  0.001  0.000  0.000 -1.000  81.802
   6  -1.  2.34E+02  3.267E+01  1.972  0.000  0.001  0.000  0.000 -1.000  81.705
   7  -1.  2.36E+02  3.175E+01  1.976  0.000  0.001  0.000  0.000 -1.000  81.617
   8  -1.  2.39E+02  3.100E+01  1.982  0.000  0.002  0.000  0.000 -1.000  81.539
   9  -1.  2.41E+02  3.039E+01  1.988  0.000  0.003  0.000  0.000 -1.000  81.469
  10  -1.  2.42E+02  2.986E+01  1.994  0.000  0.004  0.000  0.000 -1.000  81.406
  11  -1.  2.43E+02  2.938E+01  2.000  0.000  0.006  0.000  0.000 -1.000  81.354
  12  -2.  2.44E+02  2.750E+01  2.036  0.000  0.003  0.000  0.000 -1.000  81.144
  13  -2.  2.47E+02  2.606E+01  2.040  0.000  0.001  0.000  0.000 -1.000  80.901
  14  -3.  2.48E+02  2.449E+01  2.037  0.000  0.002  0.000  0.000 -1.000  80.755
  15  -4.  2.62E+02  2.174E+01  2.053  0.000  0.001  0.000  0.000 -1.000  79.560
  16  -5.  2.62E+02  2.169E+01  2.064  0.000  0.002  0.000  0.000 -1.000  79.064
  17  -5.  2.61E+02  2.169E+01  2.071  0.000  0.002  0.000  0.000 -1.000  78.735
  18  -4.  2.61E+02  2.168E+01  2.072  0.000  0.001  0.000  0.000 -1.000  78.725
