 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.18E+01  5.803E+05
   1  -3.  5.17E+01  3.645E+05  0.050  0.000  0.605  0.000  0.000 -1.000  27.273
   2  -4.  6.16E+01  2.722E+05  0.050  0.000  0.607  0.000  0.000 -1.000  36.000
   3  -5.  7.52E+01  1.920E+05  0.050  0.000  0.608  0.000  0.000 -1.000  45.763
   4  -5.  9.42E+01  1.244E+05  0.050  0.000  0.607  0.000  0.000 -1.000  55.862
   5  -6.  1.19E+02  7.362E+04  0.050  0.000  0.600  0.000  0.000 -1.000  65.499
   6  -6.  1.50E+02  3.879E+04  0.050  0.000  0.578  0.000  0.000 -1.000  74.010
   7  -6.  1.81E+02  1.749E+04  0.050  0.000  0.532  0.000  0.000 -1.000  81.030
   8  -7.  2.07E+02  7.421E+03  0.050  0.000  0.448  0.000  0.000 -1.000  86.500
   9  -7.  2.15E+02  3.430E+03  0.050  0.000  0.262  0.000  0.000 -1.000  90.576
  10  -7.  1.74E+02  2.012E+03  0.050  0.000  0.131  0.000  0.000 -1.000  93.513
  11  -7.  4.40E+02  8.438E+02  0.050  0.000  0.197  0.000  0.000 -1.000  95.395
  12  -8.  5.78E+02  7.304E+02  0.050  0.000  0.098  0.000  0.000 -1.000  96.666
  13  -8.  5.86E+02  7.204E+02  0.050  0.000  0.049  0.000  0.000 -1.000  97.063
  14  -8.  5.87E+02  7.204E+02  0.050  0.000  0.074  0.000  0.000 -1.000  96.891
  15  -2.  5.90E+02  7.203E+02  0.050  0.000  0.111  0.000  0.000 -1.000  96.830
  16  -2.  5.91E+02  7.201E+02  0.050  0.000  0.166  0.000  0.000 -1.000  96.786
  17  -2.  5.92E+02  7.196E+02  0.050  0.000  0.249  0.000  0.000 -1.000  96.749
  18  -2.  5.93E+02  7.189E+02  0.050  0.000  0.349  0.000  0.000 -1.000  96.709
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       5.95E+02  7.251E+02
  19  -2.  5.95E+02  7.185E+02  0.050  0.000  0.381  0.000  0.000 -1.000  96.654
   1  -1.  6.13E+02  6.422E+02  0.050  0.000  0.571  0.000  0.000 -1.000  96.598
   2  -2.  6.15E+02  6.240E+02  0.050  0.000  0.541  0.000  0.000 -1.000  96.344
   3  -3.  6.40E+02  6.228E+02  0.050  0.000  0.654  0.000  0.000 -1.000  96.301
   4  -4.  6.17E+02  6.221E+02  0.050  0.000  0.712  0.000  0.000 -1.000  95.963
   5  -1.  6.24E+02  6.170E+02  0.050  0.000  0.701  0.000  0.000 -1.000  96.021
   6  -2.  6.39E+02  6.118E+02  0.050  0.000  0.711  0.000  0.000 -1.000  96.027
   7  -3.  6.52E+02  5.946E+02  0.050  0.000  0.727  0.000  0.000 -1.000  95.743
   8  -2.  6.75E+02  5.928E+02  0.050  0.000  0.610  0.000  0.000 -1.000  95.483
   9  -1.  6.78E+02  5.638E+02  0.050  0.000  0.529  0.000  0.000 -1.000  95.481
  10  -1.  6.83E+02  5.576E+02  0.050  0.000  0.415  0.000  0.000 -1.000  95.428
  11  -2.  6.86E+02  5.414E+02  0.050  0.000  0.207  0.000  0.000 -1.000  95.456
  12  -1.  6.99E+02  5.405E+02  0.050  0.000  0.104  0.000  0.000 -1.000  95.302
  13   0.  7.00E+02  5.368E+02  0.050  0.000  0.052  0.000  0.000 -1.000  95.306
  14   0.  7.00E+02  5.359E+02  0.050  0.000  0.026  0.000  0.000 -1.000  95.302
  15   1.  7.00E+02  5.356E+02  0.050  0.000  0.013  0.000  0.000 -1.000  95.299
  16   1.  7.01E+02  5.353E+02  0.050  0.000  0.006  0.000  0.000 -1.000  95.296
  17   0.  7.02E+02  5.347E+02  0.050  0.000  0.003  0.000  0.000 -1.000  95.275
  18  -1.  6.98E+02  5.334E+02  0.050  0.000  0.002  0.000  0.000 -1.000  95.118
  19  -2.  6.87E+02  5.319E+02  0.050  0.000  0.002  0.000  0.000 -1.000  94.445
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.87E+02  5.363E+02
  20  -2.  6.87E+02  5.313E+02  0.050  0.000  0.001  0.000  0.000 -1.000  94.217
   1  -3.  7.14E+02  4.575E+02  0.050  0.000  0.002  0.000  0.000 -1.000  94.883
   2  -4.  7.08E+02  4.295E+02  0.050  0.000  0.001  0.000  0.000 -1.000  93.505
   3  -5.  7.40E+02  4.105E+02  0.050  0.000  0.000  0.000  0.000 -1.000  94.025
   4  -5.  7.40E+02  4.084E+02  0.050  0.000  0.000  0.000  0.000 -1.000  94.114
   5  -6.  7.40E+02  4.084E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.879
   6  -6.  7.40E+02  4.083E+02  0.050  0.000  0.000  0.000  0.000 -1.000  94.022
   7  -2.  7.40E+02  4.083E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.970
   8  -1.  7.40E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.968
   9  -2.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.950
  10  -3.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.952
  11  -2.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.944
  12  -3.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.951
  13  -4.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.951
  14  -5.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.953
  15  -5.  7.41E+02  4.080E+02  0.050  0.000  0.000  0.000  0.000 -1.000  93.953
