 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.93E+00  2.318E+03
   1  -3.  2.30E+01  4.244E+02  1.500  1.500  0.300  0.300  0.446 -1.000   0.000
   2  -4.  3.24E+01  2.440E+02  2.250  2.250  0.450  0.450  0.617 -1.000   0.000
   3  -3.  3.33E+01  2.111E+02  1.978  1.978  0.675  0.675  0.575 -1.000   0.000
   4  -2.  4.04E+01  1.165E+02  0.989  0.989  1.012  1.012  0.588 -1.000   0.000
   5  -1.  9.77E+01  3.876E+01  1.157  1.157  1.437  1.437  0.489 -1.000   0.000
   6  -2.  1.42E+02  3.290E+01  1.172  1.172  1.424  1.424  0.443 -1.000   0.000
   7  -1.  1.45E+02  3.157E+01  1.151  1.151  1.433  1.433  0.442 -1.000   0.000
   8  -2.  1.43E+02  3.120E+01  1.141  1.141  1.442  1.442  0.434 -1.000   0.000
   9  -1.  1.45E+02  3.006E+01  1.141  1.141  1.444  1.444  0.433 -1.000   0.000
  10  -2.  1.43E+02  2.998E+01  1.131  1.131  1.458  1.458  0.422 -1.000   0.000
  11  -1.  1.45E+02  2.988E+01  1.134  1.134  1.461  1.461  0.420 -1.000   0.000
  12  -2.  1.45E+02  2.980E+01  1.133  1.133  1.467  1.467  0.408 -1.000   0.000
  13  -1.  1.46E+02  2.978E+01  1.135  1.135  1.470  1.470  0.406 -1.000   0.000
  14  -2.  1.46E+02  2.971E+01  1.135  1.135  1.476  1.476  0.395 -1.000   0.000
  15  -1.  1.46E+02  2.970E+01  1.137  1.137  1.479  1.479  0.394 -1.000   0.000
  16  -2.  1.46E+02  2.963E+01  1.139  1.139  1.487  1.487  0.384 -1.000   0.000
  17  -1.  1.46E+02  2.962E+01  1.141  1.141  1.491  1.491  0.383 -1.000   0.000
  18  -2.  1.46E+02  2.954E+01  1.144  1.144  1.502  1.502  0.374 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.46E+02  1.857E+02
  19  -1.  1.46E+02  2.952E+01  1.146  1.146  1.506  1.506  0.373 -1.000   0.000
   1   0.  1.29E+02  1.838E+02  1.173  1.173  1.545  1.545  0.375 -1.000   0.000
   2  -1.  1.30E+02  1.694E+02  1.138  1.138  1.649  1.649  0.369 -1.000   0.000
   3  -2.  1.35E+02  1.609E+02  1.064  1.064  1.763  1.763  0.355 -1.000   0.000
   4  -3.  1.25E+02  1.596E+02  1.061  1.061  1.748  1.748  0.316 -1.000   0.000
   5  -2.  1.29E+02  1.578E+02  1.060  1.060  1.745  1.745  0.307 -1.000   0.000
   6  -3.  1.17E+02  1.572E+02  1.070  1.070  1.720  1.720  0.268 -1.000   0.000
   7  -4.  1.17E+02  1.548E+02  1.125  1.125  1.681  1.681  0.281 -1.000   0.000
   8  -1.  1.15E+02  1.519E+02  1.133  1.133  1.657  1.657  0.278 -1.000   0.000
   9  -2.  1.19E+02  1.495E+02  1.141  1.141  1.643  1.643  0.279 -1.000   0.000
  10  -3.  1.27E+02  1.482E+02  1.142  1.142  1.684  1.684  0.275 -1.000   0.000
  11  -4.  1.26E+02  1.480E+02  1.163  1.163  1.691  1.691  0.275 -1.000   0.000
  12  -5.  1.28E+02  1.480E+02  1.164  1.164  1.701  1.701  0.279 -1.000   0.000
  13  -5.  1.28E+02  1.480E+02  1.167  1.167  1.705  1.705  0.280 -1.000   0.000
  14  -2.  1.28E+02  1.480E+02  1.168  1.168  1.706  1.706  0.280 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.28E+02  2.849E+02
  15  -1.  1.28E+02  1.480E+02  1.168  1.168  1.706  1.706  0.280 -1.000   0.000
   1  -1.  1.24E+02  2.769E+02  1.167  1.167  1.705  1.705  0.281 -1.000   0.000
   2  -2.  1.29E+02  2.745E+02  1.184  1.184  1.744  1.744  0.298 -1.000   0.000
   3  -1.  1.30E+02  2.720E+02  1.191  1.191  1.756  1.756  0.300 -1.000   0.000
   4  -2.  1.34E+02  2.765E+02  1.211  1.211  1.775  1.775  0.317 -1.000   0.000
   5  -1.  1.35E+02  2.694E+02  1.224  1.224  1.784  1.784  0.318 -1.000   0.000
   6  -1.  1.36E+02  2.665E+02  1.241  1.241  1.790  1.790  0.320 -1.000   0.000
   7  -1.  1.38E+02  2.626E+02  1.260  1.260  1.792  1.792  0.321 -1.000   0.000
   8  -1.  1.40E+02  2.596E+02  1.280  1.280  1.788  1.788  0.321 -1.000   0.000
   9  -1.  1.43E+02  2.498E+02  1.302  1.302  1.773  1.773  0.320 -1.000   0.000
  10  -1.  1.47E+02  2.423E+02  1.327  1.327  1.753  1.753  0.318 -1.000   0.000
  11   0.  1.52E+02  2.360E+02  1.333  1.333  1.737  1.737  0.318 -1.000   0.000
  12   0.  1.51E+02  2.338E+02  1.340  1.340  1.729  1.729  0.318 -1.000   0.000
  13  -1.  1.57E+02  2.146E+02  1.372  1.372  1.689  1.689  0.315 -1.000   0.000
  14   0.  1.57E+02  2.105E+02  1.378  1.378  1.675  1.675  0.315 -1.000   0.000
  15   0.  1.57E+02  2.095E+02  1.383  1.383  1.665  1.665  0.315 -1.000   0.000
  16  -1.  1.62E+02  1.939E+02  1.441  1.441  1.505  1.505  0.310 -1.000   0.000
  17  -2.  1.70E+02  1.789E+02  1.489  1.489  1.398  1.398  0.293 -1.000   0.000
  18  -3.  1.17E+02  1.769E+02  1.542  1.542  1.098  1.098  0.280 -1.000   0.000
  19  -2.  1.07E+02  1.364E+02  1.543  1.543  0.752  0.752  0.330 -1.000   0.000
  20  -1.  1.12E+02  1.168E+02  1.553  1.553  0.376  0.376  0.334 -1.000   0.000
  21  -1.  1.14E+02  1.108E+02  1.559  1.559  0.188  0.188  0.338 -1.000   0.000
  22   0.  1.14E+02  1.084E+02  1.556  1.556  0.094  0.094  0.338 -1.000   0.000
  23   0.  1.14E+02  1.076E+02  1.552  1.552  0.047  0.047  0.338 -1.000   0.000
  24   0.  1.13E+02  1.075E+02  1.553  1.553  0.023  0.023  0.338 -1.000   0.000
