 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.64E+01  1.404E+04
   1  -3.  3.13E+01  4.929E+03  0.050  0.000  1.500  0.000  0.000 -1.000  27.273
   2  -4.  3.81E+01  2.324E+03  0.050  0.000  2.170  0.000  0.000 -1.000  36.000
   3  -5.  4.26E+01  1.811E+03  0.050  0.000  2.726  0.000  0.000 -1.000  35.514
   4  -5.  5.96E+01  1.292E+03  0.050  0.000  4.089  0.000  0.000 -1.000  44.319
   5  -6.  8.20E+01  7.707E+02  0.050  0.000  5.579  0.000  0.000 -1.000  46.692
   6  -6.  9.05E+01  5.979E+02  0.050  0.000  5.971  0.000  0.000 -1.000  45.395
   7  -6.  8.82E+01  5.944E+02  0.050  0.000  6.075  0.000  0.000 -1.000  45.731
   8  -7.  8.83E+01  5.932E+02  0.050  0.000  6.039  0.000  0.000 -1.000  46.011
   9  -7.  8.80E+01  5.931E+02  0.050  0.000  6.042  0.000  0.000 -1.000  46.121
  10  -7.  8.80E+01  5.931E+02  0.050  0.000  6.035  0.000  0.000 -1.000  46.155
  11  -7.  8.80E+01  5.931E+02  0.050  0.000  6.033  0.000  0.000 -1.000  46.177
  12  -4.  8.80E+01  5.931E+02  0.050  0.000  6.032  0.000  0.000 -1.000  46.181
  13  -5.  8.80E+01  5.931E+02  0.050  0.000  6.032  0.000  0.000 -1.000  46.184
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.80E+01  6.151E+02
   1  -1.  8.80E+01  6.147E+02  0.050  0.000  6.030  0.000  0.000 -1.000  46.264
   2  -2.  8.77E+01  6.139E+02  0.050  0.000  5.980  0.000  0.000 -1.000  46.467
   3  -1.  8.79E+01  6.124E+02  0.050  0.000  5.961  0.000  0.000 -1.000  46.466
   4  -1.  8.82E+01  6.112E+02  0.050  0.000  5.929  0.000  0.000 -1.000  46.495
   5  -1.  8.85E+01  6.097E+02  0.050  0.000  5.902  0.000  0.000 -1.000  46.530
   6  -1.  8.88E+01  6.079E+02  0.050  0.000  5.870  0.000  0.000 -1.000  46.555
   7  -1.  8.93E+01  6.057E+02  0.050  0.000  5.832  0.000  0.000 -1.000  46.562
   8  -1.  8.97E+01  6.034E+02  0.050  0.000  5.786  0.000  0.000 -1.000  46.546
   9  -1.  8.98E+01  6.030E+02  0.050  0.000  5.741  0.000  0.000 -1.000  46.526
  10   0.  9.02E+01  6.006E+02  0.050  0.000  5.738  0.000  0.000 -1.000  46.475
  11   0.  9.05E+01  5.995E+02  0.050  0.000  5.725  0.000  0.000 -1.000  46.374
  12  -1.  9.13E+01  5.967E+02  0.050  0.000  5.684  0.000  0.000 -1.000  46.309
  13  -1.  9.42E+01  5.877E+02  0.050  0.000  5.615  0.000  0.000 -1.000  45.594
  14   0.  9.49E+01  5.846E+02  0.050  0.000  5.583  0.000  0.000 -1.000  45.363
  15   0.  9.55E+01  5.825E+02  0.050  0.000  5.554  0.000  0.000 -1.000  45.177
  16   0.  9.56E+01  5.818E+02  0.050  0.000  5.530  0.000  0.000 -1.000  45.111
  17   0.  9.58E+01  5.813E+02  0.050  0.000  5.509  0.000  0.000 -1.000  45.058
  18   0.  9.59E+01  5.807E+02  0.050  0.000  5.490  0.000  0.000 -1.000  45.002
  19   0.  9.61E+01  5.802E+02  0.050  0.000  5.473  0.000  0.000 -1.000  44.942
  20   0.  9.63E+01  5.795E+02  0.050  0.000  5.456  0.000  0.000 -1.000  44.858
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.64E+01  5.900E+02
  21   0.  9.64E+01  5.791E+02  0.050  0.000  5.442  0.000  0.000 -1.000  44.789
   1  -1.  9.77E+01  5.795E+02  0.050  0.000  5.212  0.000  0.000 -1.000  41.355
   2  -1.  1.02E+02  5.677E+02  0.050  0.000  4.913  0.000  0.000 -1.000  37.006
   3  -1.  1.05E+02  5.631E+02  0.050  0.000  4.534  0.000  0.000 -1.000  33.029
   4  -1.  1.05E+02  5.557E+02  0.050  0.000  4.276  0.000  0.000 -1.000  31.828
   5  -1.  1.06E+02  5.538E+02  0.050  0.000  4.190  0.000  0.000 -1.000  30.104
   6  -1.  1.07E+02  5.526E+02  0.050  0.000  4.185  0.000  0.000 -1.000  28.713
   7  -1.  1.08E+02  5.514E+02  0.050  0.000  4.211  0.000  0.000 -1.000  27.554
